DATA,ALBUFEIRA DO CAIA (19O/02F),,ALBUFEIRA DO CAIA (19O/02F),,ALBUFEIRA DO CAIA (19O/02F),,ALBUFEIRA DO CAIA (19O/02F),,ALBUFEIRA DO MARANHÃO (19J/04F),,ALBUFEIRA DO MARANHÃO (19J/04F),,ALBUFEIRA DO MARANHÃO (19J/04F),,ALBUFEIRA DO MARANHÃO (19J/04F),,ALBUFEIRA DO ROXO (26I/02F),,ALBUFEIRA DO ROXO (26I/02F),,ALBUFEIRA DO ROXO (26I/02F),,ALBUFEIRA DO ROXO (26I/02F),,ALCAFOZES (14O/02U),,ALCAFOZES (14O/02U),,ALCAFOZES (14O/02U),,ALCAFOZES (14O/02U),,ALCAINS (14M/01UG),,ALCAINS (14M/01UG),,ALCAINS (14M/01UG),,ALCAINS (14M/01UG),,ALCANEDE (17E/01U),,ALCANEDE (17E/01U),,ALCANEDE (17E/01U),,ALCANEDE (17E/01U),,ALCANENA (17F/02CU),,ALCANENA (17F/02CU),,ALCANENA (17F/02CU),,ALCANENA (17F/02CU),,
,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,
17/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
18/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
19/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
20/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
21/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
22/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
23/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
24/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
25/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
26/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
27/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
28/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
29/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
30/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
31/10/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
01/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
02/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,(vco),,,,,,,,,,,,,,,,,,,,,
03/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
04/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,(vco),,,,,,,,,,,,,,,,,,,,,
05/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,(vco),,,,,,,,,,,,,,,,,,,,,
06/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,(vco),,,,,,,,,,,,,,,,,,,,,
07/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
08/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
09/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
10/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
11/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(vco),,,,,,,,,,,,,,,,,,,,,
12/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
13/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.5,(vco),,,,,,,,,,,,,,,,,,,,,
14/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
15/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
16/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
17/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
18/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
19/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
20/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
21/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
22/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
23/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
24/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
25/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
26/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,(vco),,,,,,,,,,,,,,,,,,,,,
27/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,(vco),,,,,,,,,,,,,,,,,,,,,
28/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
29/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
30/11/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
01/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
02/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
03/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
04/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
05/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,(vco),,,,,,,,,,,,,,,,,,,,,
06/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
07/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
08/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,(vco),,,,,,,,,,,,,,,,,,,,,
09/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,(vco),,,,,,,,,,,,,,,,,,,,,
10/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
11/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
12/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
13/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
14/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
15/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
16/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
17/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
18/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
19/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
20/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
21/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
22/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,(vco),,,,,,,,,,,,,,,,,,,,,
23/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,(vco),,,,,,,,,,,,,,,,,,,,,
24/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,(vco),,,,,,,,,,,,,,,,,,,,,
25/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,(vco),,,,,,,,,,,,,,,,,,,,,
26/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,(vco),,,,,,,,,,,,,,,,,,,,,
27/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,(vco),,,,,,,,,,,,,,,,,,,,,
28/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,(vco),,,,,,,,,,,,,,,,,,,,,
29/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,(vco),,,,,,,,,,,,,,,,,,,,,
30/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
31/12/1985 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
01/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
02/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,(vco),,,,,,,,,,,,,,,,,,,,,
03/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,(vco),,,,,,,,,,,,,,,,,,,,,
04/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
05/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(vco),,,,,,,,,,,,,,,,,,,,,
06/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
07/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,(vco),,,,,,,,,,,,,,,,,,,,,
08/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,(vco),,,,,,,,,,,,,,,,,,,,,
09/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,(vco),,,,,,,,,,,,,,,,,,,,,
10/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
11/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
12/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
13/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
14/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
15/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
16/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
17/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
18/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
19/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
20/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
21/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
22/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
23/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
24/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
25/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
26/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
27/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
28/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
29/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,(vco),,,,,,,,,,,,,,,,,,,,,
30/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,(vco),,,,,,,,,,,,,,,,,,,,,
31/01/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
01/02/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
02/02/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
03/02/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
04/02/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,(vco),,,,,,,,,,,,,,,,,,,,,
05/02/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,(vco),,,,,,,,,,,,,,,,,,,,,
06/02/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
07/02/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
08/02/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,(vco),,,,,,,,,,,,,,,,,,,,,
09/02/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,(vco),,,,,,,,,,,,,,,,,,,,,
10/02/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
11/02/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
12/02/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
13/02/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,(vco),,,,,,,,,,,,,,,,,,,,,
14/02/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,(vco),,,,,,,,,,,,,,,,,,,,,
15/02/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,(vco),,,,,,,,,,,,,,,,,,,,,
16/02/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,(vco),,,,,,,,,,,,,,,,,,,,,
17/02/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,(vco),,,,,,,,,,,,,,,,,,,,,
18/02/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,(vco),,,,,,,,,,,,,,,,,,,,,
19/02/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
20/02/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,(vco),,,,,,,,,,,,,,,,,,,,,
21/02/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,(vco),,,,,,,,,,,,,,,,,,,,,
22/02/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
23/02/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
24/02/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,(vco),,,,,,,,,,,,,,,,,,,,,
25/02/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,(vco),,,,,,,,,,,,,,,,,,,,,
26/02/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
27/02/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
28/02/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
01/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
02/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
03/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,(vco),,,,,,,,,,,,,,,,,,,,,
04/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
05/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
06/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
07/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
08/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
09/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
10/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
11/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
12/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
13/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
14/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
15/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
16/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
17/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
18/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
19/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
20/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
21/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
22/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
23/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
24/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
25/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
26/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
27/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
28/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
29/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
30/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
31/03/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
01/04/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
02/04/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
03/04/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
04/04/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
05/04/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,(vco),,,,,,,,,,,,,,,,,,,,,
06/04/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,(vco),,,,,,,,,,,,,,,,,,,,,
07/04/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
08/04/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
09/04/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
10/04/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
11/04/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
12/04/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,(vco),,,,,,,,,,,,,,,,,,,,,
13/04/1986 09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,(vco),,,,,,,,,,,,,,,,,,,,,
